boundary_index	chrom	boundary_end	index	num_ctcf	span	boundary_start	strand	start	end
1391	chr5	76140000	7867	6	76132169-76132188	76130000	+	76132169	76132188
1391	chr5	76140000	7868	6	76132248-76132267	76130000	+	76132248	76132267
1391	chr5	76140000	7870	6	76135424-76135443	76130000	+	76135424	76135443
1392	chr5	76550000	7875	2	76541032-76541051	76540000	-	76541032	76541051
1392	chr5	76550000	7876	2	76541704-76541723	76540000	+	76541704	76541723
1394	chr5	77350000	7889	4	77347629-77347648	77340000	-	77347629	77347648
1395	chr5	77770000	7892	3	77762367-77762386	77760000	+	77762367	77762386
1399	chr5	81020000	7908	1	81013724-81013743	81010000	+	81013724	81013743
1402	chr5	82420000	7917	2	82419314-82419333	82410000	+	82419314	82419333
1405	chr5	85550000	7927	1	85548845-85548864	85540000	-	85548845	85548864
1406	chr5	86010000	7930	2	86004399-86004418	86000000	-	86004399	86004418
1407	chr5	86190000	7933	4	86181713-86181732	86180000	+	86181713	86181732
1407	chr5	86190000	7934	4	86185070-86185089	86180000	+	86185070	86185089
1408	chr5	86440000	7940	6	86431003-86431022	86430000	-	86431003	86431022
1408	chr5	86440000	7941	6	86432895-86432914	86430000	+	86432895	86432914
1408	chr5	86440000	7942	6	86434876-86434895	86430000	-	86434876	86434895
1408	chr5	86440000	7943	6	86435746-86435765	86430000	-	86435746	86435765
1410	chr5	87560000	7949	1	87551118-87551137	87550000	-	87551118	87551137
1411	chr5	87880000	7951	4	87871607-87871626	87870000	-	87871607	87871626
1413	chr5	88790000	7962	3	88782562-88782581	88780000	-	88782562	88782581
1414	chr5	89400000	7967	4	89391174-89391193	89390000	-	89391174	89391193
1414	chr5	89400000	7968	4	89391697-89391716	89390000	+	89391697	89391716
1414	chr5	89400000	7969	4	89392775-89392794	89390000	+	89392775	89392794
1415	chr5	89710000	7974	3	89709249-89709268	89700000	-	89709249	89709268
1415	chr5	89710000	7975	3	89709666-89709685	89700000	+	89709666	89709685
1416	chr5	90210000	7979	4	90203322-90203341	90200000	+	90203322	90203341
1417	chr5	90380000	7984	1	90378218-90378237	90370000	-	90378218	90378237
1418	chr5	90600000	7986	5	90592358-90592377	90590000	+	90592358	90592377
1418	chr5	90600000	7987	5	90594856-90594875	90590000	+	90594856	90594875
1420	chr5	91420000	7995	2	91413459-91413478	91410000	+	91413459	91413478
1420	chr5	91420000	7996	2	91416104-91416123	91410000	+	91416104	91416123
1421	chr5	91900000	8000	2	91897843-91897862	91890000	-	91897843	91897862
1422	chr5	92670000	8004	8	92663352-92663371	92660000	-	92663352	92663371
1422	chr5	92670000	8008	8	92664501-92664520	92660000	-	92664501	92664520
1423	chr5	92980000	8014	7	92971506-92971525	92970000	+	92971506	92971525
1423	chr5	92980000	8017	7	92975114-92975133	92970000	-	92975114	92975133
1425	chr5	96800000	8024	3	96794305-96794324	96790000	+	96794305	96794324
1425	chr5	96800000	8025	3	96794410-96794429	96790000	+	96794410	96794429
1428	chr5	98170000	8037	9	98160627-98160646	98160000	+	98160627	98160646
1428	chr5	98170000	8041	9	98167062-98167081	98160000	+	98167062	98167081
1428	chr5	98170000	8042	9	98167189-98167208	98160000	+	98167189	98167208
1428	chr5	98170000	8043	9	98167288-98167307	98160000	+	98167288	98167307
1428	chr5	98170000	8044	9	98167660-98167679	98160000	+	98167660	98167679
1428	chr5	98170000	8045	9	98167758-98167777	98160000	-	98167758	98167777
1429	chr5	98350000	8050	8	98344767-98344786	98340000	+	98344767	98344786
1429	chr5	98350000	8052	8	98346245-98346264	98340000	+	98346245	98346264
1429	chr5	98350000	8054	8	98348721-98348740	98340000	-	98348721	98348740
1429	chr5	98350000	8055	8	98348829-98348848	98340000	+	98348829	98348848
1430	chr5	98890000	8058	2	98880917-98880936	98880000	-	98880917	98880936
1431	chr5	99200000	8066	5	99197571-99197590	99190000	-	99197571	99197590
1432	chr5	99600000	8069	7	99591337-99591356	99590000	+	99591337	99591356
1432	chr5	99600000	8072	7	99596003-99596022	99590000	+	99596003	99596022
1432	chr5	99600000	8074	7	99597880-99597899	99590000	+	99597880	99597899
1432	chr5	99600000	8075	7	99599099-99599118	99590000	+	99599099	99599118
1433	chr5	99910000	8078	4	99900261-99900280	99900000	-	99900261	99900280
1433	chr5	99910000	8079	4	99906565-99906584	99900000	-	99906565	99906584
1435	chr5	100950000	8086	4	100948403-100948422	100940000	+	100948403	100948422
1435	chr5	100950000	8088	4	100949882-100949901	100940000	+	100949882	100949901
1437	chr5	101690000	8098	6	101680540-101680559	101680000	+	101680540	101680559
1437	chr5	101690000	8099	6	101683201-101683220	101680000	+	101683201	101683220
1437	chr5	101690000	8100	6	101683292-101683311	101680000	-	101683292	101683311
1437	chr5	101690000	8101	6	101683485-101683504	101680000	-	101683485	101683504
1437	chr5	101690000	8103	6	101688774-101688793	101680000	-	101688774	101688793
1438	chr5	102150000	8106	4	102140813-102140832	102140000	+	102140813	102140832
1438	chr5	102150000	8108	4	102147898-102147917	102140000	-	102147898	102147917
1438	chr5	102150000	8109	4	102149661-102149680	102140000	+	102149661	102149680
1440	chr5	103640000	8116	3	103630013-103630032	103630000	-	103630013	103630032
1441	chr5	103920000	8124	4	103918925-103918944	103910000	+	103918925	103918944
1442	chr5	104370000	8130	4	104369772-104369791	104360000	+	104369772	104369791
1443	chr5	105910000	8133	3	105908068-105908087	105900000	-	105908068	105908087
1444	chr5	106460000	8138	4	106450717-106450736	106450000	+	106450717	106450736
1444	chr5	106460000	8139	4	106452836-106452855	106450000	-	106452836	106452855
1444	chr5	106460000	8140	4	106454738-106454757	106450000	+	106454738	106454757
1444	chr5	106460000	8141	4	106455105-106455124	106450000	-	106455105	106455124
1445	chr5	106820000	8146	4	106818422-106818441	106810000	-	106818422	106818441
1453	chr5	110880000	8180	3	110877962-110877981	110870000	+	110877962	110877981
1454	chr5	111400000	8184	10	111394097-111394116	111390000	-	111394097	111394116
1454	chr5	111400000	8185	10	111394712-111394731	111390000	-	111394712	111394731
1454	chr5	111400000	8186	10	111394912-111394931	111390000	+	111394912	111394931
1454	chr5	111400000	8187	10	111395177-111395196	111390000	+	111395177	111395196
1454	chr5	111400000	8188	10	111396414-111396433	111390000	-	111396414	111396433
1454	chr5	111400000	8189	10	111397197-111397216	111390000	+	111397197	111397216
1454	chr5	111400000	8190	10	111397401-111397420	111390000	+	111397401	111397420
1454	chr5	111400000	8191	10	111397693-111397712	111390000	+	111397693	111397712
1454	chr5	111400000	8192	10	111399214-111399233	111390000	+	111399214	111399233
1456	chr5	112430000	8201	9	112420707-112420726	112420000	-	112420707	112420726
1456	chr5	112430000	8202	9	112422808-112422827	112420000	-	112422808	112422827
1456	chr5	112430000	8203	9	112424209-112424228	112420000	+	112424209	112424228
1456	chr5	112430000	8204	9	112424716-112424735	112420000	-	112424716	112424735
1456	chr5	112430000	8205	9	112427459-112427478	112420000	-	112427459	112427478
1456	chr5	112430000	8206	9	112427653-112427672	112420000	-	112427653	112427672
1456	chr5	112430000	8207	9	112428322-112428341	112420000	-	112428322	112428341
1456	chr5	112430000	8208	9	112429172-112429191	112420000	-	112429172	112429191
1456	chr5	112430000	8209	9	112429352-112429371	112420000	-	112429352	112429371
1457	chr5	113090000	8212	5	113080020-113080039	113080000	-	113080020	113080039
1457	chr5	113090000	8214	5	113086605-113086624	113080000	-	113086605	113086624
1457	chr5	113090000	8215	5	113086942-113086961	113080000	-	113086942	113086961
1457	chr5	113090000	8216	5	113087676-113087695	113080000	+	113087676	113087695
1458	chr5	113750000	8221	8	113744632-113744651	113740000	-	113744632	113744651
1458	chr5	113750000	8224	8	113748696-113748715	113740000	+	113748696	113748715
1459	chr5	114620000	8229	13	114610694-114610713	114610000	+	114610694	114610713
1459	chr5	114620000	8230	13	114611860-114611879	114610000	+	114611860	114611879
1459	chr5	114620000	8231	13	114612391-114612410	114610000	+	114612391	114612410
1459	chr5	114620000	8232	13	114613287-114613306	114610000	+	114613287	114613306
1459	chr5	114620000	8238	13	114617473-114617492	114610000	-	114617473	114617492
1459	chr5	114620000	8239	13	114618023-114618042	114610000	-	114618023	114618042
1460	chr5	114960000	8244	7	114950119-114950138	114950000	+	114950119	114950138
1460	chr5	114960000	8246	7	114950883-114950902	114950000	-	114950883	114950902
1461	chr5	115500000	8255	6	115492471-115492490	115490000	-	115492471	115492490
1461	chr5	115500000	8257	6	115498509-115498528	115490000	-	115498509	115498528
1462	chr5	116030000	8261	6	116020950-116020969	116020000	+	116020950	116020969
1462	chr5	116030000	8262	6	116022801-116022820	116020000	+	116022801	116022820
1463	chr5	116560000	8269	7	116552259-116552278	116550000	-	116552259	116552278
1463	chr5	116560000	8270	7	116554072-116554091	116550000	+	116554072	116554091
1463	chr5	116560000	8271	7	116555606-116555625	116550000	+	116555606	116555625
1463	chr5	116560000	8273	7	116557605-116557624	116550000	-	116557605	116557624
1464	chr5	117100000	8278	11	117090264-117090283	117090000	+	117090264	117090283
1464	chr5	117100000	8280	11	117091021-117091040	117090000	-	117091021	117091040
1464	chr5	117100000	8281	11	117091638-117091657	117090000	+	117091638	117091657
1464	chr5	117100000	8282	11	117091831-117091850	117090000	+	117091831	117091850
1464	chr5	117100000	8283	11	117093328-117093347	117090000	+	117093328	117093347
1464	chr5	117100000	8284	11	117094603-117094622	117090000	+	117094603	117094622
1464	chr5	117100000	8287	11	117097474-117097493	117090000	-	117097474	117097493
1464	chr5	117100000	8288	11	117099929-117099948	117090000	-	117099929	117099948
1465	chr5	117510000	8296	15	117504620-117504639	117500000	+	117504620	117504639
1465	chr5	117510000	8297	15	117505072-117505091	117500000	-	117505072	117505091
1465	chr5	117510000	8302	15	117505662-117505681	117500000	-	117505662	117505681
1465	chr5	117510000	8303	15	117506557-117506576	117500000	+	117506557	117506576
1465	chr5	117510000	8304	15	117507109-117507128	117500000	-	117507109	117507128
1465	chr5	117510000	8305	15	117509724-117509743	117500000	+	117509724	117509743
1466	chr5	117970000	8308	7	117960861-117960880	117960000	+	117960861	117960880
1466	chr5	117970000	8311	7	117966112-117966131	117960000	-	117966112	117966131
1467	chr5	118770000	8317	4	118763547-118763566	118760000	-	118763547	118763566
1467	chr5	118770000	8318	4	118764735-118764754	118760000	-	118764735	118764754
1467	chr5	118770000	8319	4	118768989-118769008	118760000	+	118768989	118769008
1468	chr5	119730000	8323	5	119720546-119720565	119720000	+	119720546	119720565
1468	chr5	119730000	8325	5	119724849-119724868	119720000	+	119724849	119724868
1470	chr5	120480000	8340	7	120477517-120477536	120470000	+	120477517	120477536
1470	chr5	120480000	8341	7	120478820-120478839	120470000	-	120478820	120478839
1471	chr5	120780000	8347	5	120772871-120772890	120770000	-	120772871	120772890
1471	chr5	120780000	8348	5	120774271-120774290	120770000	+	120774271	120774290
1471	chr5	120780000	8349	5	120775358-120775377	120770000	-	120775358	120775377
1471	chr5	120780000	8350	5	120776343-120776362	120770000	-	120776343	120776362
1472	chr5	121200000	8353	4	121191124-121191143	121190000	-	121191124	121191143
1474	chr5	122110000	8365	7	122102586-122102605	122100000	-	122102586	122102605
1474	chr5	122110000	8366	7	122104384-122104403	122100000	+	122104384	122104403
1474	chr5	122110000	8369	7	122106254-122106273	122100000	+	122106254	122106273
1474	chr5	122110000	8370	7	122106357-122106376	122100000	-	122106357	122106376
1474	chr5	122110000	8371	7	122109307-122109326	122100000	-	122109307	122109326
1475	chr5	122410000	8375	5	122405943-122405962	122400000	-	122405943	122405962
1475	chr5	122410000	8377	5	122408896-122408915	122400000	+	122408896	122408915
1476	chr5	122780000	8383	4	122773183-122773202	122770000	+	122773183	122773202
1476	chr5	122780000	8384	4	122774681-122774700	122770000	+	122774681	122774700
1478	chr5	123930000	8392	6	123922220-123922239	123920000	+	123922220	123922239
1478	chr5	123930000	8394	6	123926839-123926858	123920000	-	123926839	123926858
1478	chr5	123930000	8395	6	123927336-123927355	123920000	+	123927336	123927355
1478	chr5	123930000	8397	6	123929194-123929213	123920000	+	123929194	123929213
1479	chr5	124340000	8400	3	124334239-124334258	124330000	-	124334239	124334258
1479	chr5	124340000	8402	3	124339434-124339453	124330000	+	124339434	124339453
1480	chr5	124600000	8405	4	124593829-124593848	124590000	-	124593829	124593848
1480	chr5	124600000	8407	4	124597340-124597359	124590000	+	124597340	124597359
1480	chr5	124600000	8408	4	124599715-124599734	124590000	-	124599715	124599734
1481	chr5	125520000	8411	8	125510739-125510758	125510000	-	125510739	125510758
1481	chr5	125520000	8412	8	125512614-125512633	125510000	+	125512614	125512633
1481	chr5	125520000	8413	8	125514053-125514072	125510000	+	125514053	125514072
1481	chr5	125520000	8414	8	125515003-125515022	125510000	+	125515003	125515022
1481	chr5	125520000	8415	8	125515679-125515698	125510000	+	125515679	125515698
1481	chr5	125520000	8416	8	125516047-125516066	125510000	-	125516047	125516066
1481	chr5	125520000	8417	8	125516922-125516941	125510000	-	125516922	125516941
1483	chr5	127180000	8427	1	127172538-127172557	127170000	-	127172538	127172557
1484	chr5	127590000	8431	4	127586654-127586673	127580000	-	127586654	127586673
1485	chr5	128450000	8435	4	128440049-128440068	128440000	-	128440049	128440068
1485	chr5	128450000	8436	4	128444959-128444978	128440000	-	128444959	128444978
1487	chr5	129030000	8449	9	129020154-129020173	129020000	-	129020154	129020173
1487	chr5	129030000	8450	9	129020680-129020699	129020000	-	129020680	129020699
1487	chr5	129030000	8451	9	129020832-129020851	129020000	-	129020832	129020851
1487	chr5	129030000	8452	9	129021742-129021761	129020000	+	129021742	129021761
1487	chr5	129030000	8455	9	129026291-129026310	129020000	-	129026291	129026310
1488	chr5	129600000	8464	12	129594322-129594341	129590000	-	129594322	129594341
1488	chr5	129600000	8465	12	129595001-129595020	129590000	-	129595001	129595020
1488	chr5	129600000	8466	12	129595300-129595319	129590000	+	129595300	129595319
1488	chr5	129600000	8467	12	129595503-129595522	129590000	+	129595503	129595522
1488	chr5	129600000	8468	12	129595623-129595642	129590000	+	129595623	129595642
1488	chr5	129600000	8469	12	129595895-129595914	129590000	+	129595895	129595914
1488	chr5	129600000	8471	12	129598670-129598689	129590000	-	129598670	129598689
1489	chr5	129900000	8484	12	129899244-129899263	129890000	-	129899244	129899263
1490	chr5	130310000	8493	6	130307066-130307085	130300000	-	130307066	130307085
1491	chr5	130870000	8496	7	130862462-130862481	130860000	+	130862462	130862481
1492	chr5	131440000	8505	4	131430336-131430355	131430000	-	131430336	131430355
1493	chr5	132100000	8511	3	132090162-132090181	132090000	-	132090162	132090181
1494	chr5	132590000	8518	3	132587445-132587464	132580000	+	132587445	132587464
1498	chr5	135120000	8543	7	135118634-135118653	135110000	+	135118634	135118653
1498	chr5	135120000	8544	7	135118931-135118950	135110000	+	135118931	135118950
1499	chr5	135380000	8549	7	135374159-135374178	135370000	-	135374159	135374178
1499	chr5	135380000	8550	7	135375347-135375366	135370000	+	135375347	135375366
1499	chr5	135380000	8551	7	135377040-135377059	135370000	+	135377040	135377059
1499	chr5	135380000	8552	7	135377486-135377505	135370000	+	135377486	135377505
1499	chr5	135380000	8553	7	135378228-135378247	135370000	-	135378228	135378247
1500	chr5	135890000	8557	7	135882969-135882988	135880000	+	135882969	135882988
1500	chr5	135890000	8560	7	135887805-135887824	135880000	+	135887805	135887824
1500	chr5	135890000	8561	7	135889004-135889023	135880000	+	135889004	135889023
1501	chr5	136270000	8567	7	136261307-136261326	136260000	+	136261307	136261326
1501	chr5	136270000	8568	7	136263058-136263077	136260000	-	136263058	136263077
1501	chr5	136270000	8570	7	136267581-136267600	136260000	-	136267581	136267600
1501	chr5	136270000	8571	7	136268160-136268179	136260000	-	136268160	136268179
1502	chr5	136780000	8574	3	136772301-136772320	136770000	-	136772301	136772320
1502	chr5	136780000	8576	3	136773934-136773953	136770000	+	136773934	136773953
1503	chr5	136920000	8584	6	136919175-136919194	136910000	+	136919175	136919194
1504	chr5	137510000	8587	6	137501878-137501897	137500000	-	137501878	137501897
1504	chr5	137510000	8588	6	137502148-137502167	137500000	+	137502148	137502167
1504	chr5	137510000	8589	6	137502999-137503018	137500000	-	137502999	137503018
1505	chr5	137790000	8596	11	137781970-137781989	137780000	+	137781970	137781989
1505	chr5	137790000	8597	11	137782587-137782606	137780000	-	137782587	137782606
1505	chr5	137790000	8598	11	137783352-137783371	137780000	+	137783352	137783371
1505	chr5	137790000	8599	11	137785704-137785723	137780000	-	137785704	137785723
1505	chr5	137790000	8600	11	137785862-137785881	137780000	-	137785862	137785881
1505	chr5	137790000	8601	11	137787308-137787327	137780000	-	137787308	137787327
1506	chr5	138200000	8611	4	138199764-138199783	138190000	+	138199764	138199783
1508	chr5	139260000	8616	7	139251928-139251947	139250000	-	139251928	139251947
1508	chr5	139260000	8617	7	139253410-139253429	139250000	-	139253410	139253429
1508	chr5	139260000	8618	7	139255741-139255760	139250000	+	139255741	139255760
1509	chr5	139810000	8624	8	139800506-139800525	139800000	-	139800506	139800525
1509	chr5	139810000	8625	8	139802882-139802901	139800000	-	139802882	139802901
1509	chr5	139810000	8626	8	139803959-139803978	139800000	-	139803959	139803978
1509	chr5	139810000	8629	8	139805253-139805272	139800000	-	139805253	139805272
1510	chr5	140430000	8635	3	140429083-140429102	140420000	-	140429083	140429102
1510	chr5	140430000	8636	3	140429516-140429535	140420000	-	140429516	140429535
1511	chr5	140750000	8639	16	140741055-140741074	140740000	+	140741055	140741074
1511	chr5	140750000	8640	16	140741144-140741163	140740000	-	140741144	140741163
1511	chr5	140750000	8641	16	140742060-140742079	140740000	-	140742060	140742079
1511	chr5	140750000	8643	16	140743043-140743062	140740000	-	140743043	140743062
1511	chr5	140750000	8647	16	140744036-140744055	140740000	-	140744036	140744055
1511	chr5	140750000	8649	16	140748132-140748151	140740000	+	140748132	140748151
1511	chr5	140750000	8650	16	140748700-140748719	140740000	+	140748700	140748719
1511	chr5	140750000	8654	16	140749765-140749784	140740000	-	140749765	140749784
1514	chr5	143320000	8677	8	143316657-143316676	143310000	+	143316657	143316676
1515	chr5	144250000	8682	7	144242413-144242432	144240000	-	144242413	144242432
1515	chr5	144250000	8683	7	144242535-144242554	144240000	-	144242535	144242554
1515	chr5	144250000	8684	7	144244127-144244146	144240000	-	144244127	144244146
1516	chr5	144760000	8689	6	144750019-144750038	144750000	-	144750019	144750038
1516	chr5	144760000	8691	6	144752623-144752642	144750000	-	144752623	144752642
1516	chr5	144760000	8693	6	144756314-144756333	144750000	-	144756314	144756333
1517	chr5	145210000	8700	9	145204409-145204428	145200000	+	145204409	145204428
1517	chr5	145210000	8704	9	145207598-145207617	145200000	+	145207598	145207617
1518	chr5	146170000	8711	9	146162770-146162789	146160000	+	146162770	146162789
1518	chr5	146170000	8714	9	146167324-146167343	146160000	+	146167324	146167343
1518	chr5	146170000	8715	9	146168284-146168303	146160000	-	146168284	146168303
1518	chr5	146170000	8716	9	146169254-146169273	146160000	-	146169254	146169273
1519	chr5	146920000	8721	8	146914576-146914595	146910000	+	146914576	146914595
1519	chr5	146920000	8722	8	146916445-146916464	146910000	+	146916445	146916464
1521	chr5	147940000	8737	7	147930900-147930919	147930000	-	147930900	147930919
1521	chr5	147940000	8743	7	147938072-147938091	147930000	+	147938072	147938091
1523	chr5	148750000	8753	4	148741002-148741021	148740000	-	148741002	148741021
1524	chr5	149050000	8761	3	149049171-149049190	149040000	-	149049171	149049190
1525	chr5	149650000	8767	7	149645640-149645659	149640000	+	149645640	149645659
1525	chr5	149650000	8769	7	149647491-149647510	149640000	-	149647491	149647510
1525	chr5	149650000	8770	7	149647907-149647926	149640000	+	149647907	149647926
1527	chr6	4560000	8779	4	4554536-4554555	4550000	-	4554536	4554555
1527	chr6	4560000	8780	4	4556087-4556106	4550000	-	4556087	4556106
1528	chr6	5120000	8785	2	5112988-5113007	5110000	+	5112988	5113007
1528	chr6	5120000	8786	2	5117904-5117923	5110000	-	5117904	5117923
1529	chr6	5400000	8789	2	5396932-5396951	5390000	-	5396932	5396951
1529	chr6	5400000	8790	2	5399454-5399473	5390000	+	5399454	5399473
1530	chr6	5620000	8794	3	5617731-5617750	5610000	-	5617731	5617750
1530	chr6	5620000	8795	3	5619931-5619950	5610000	-	5619931	5619950
1531	chr6	6010000	8798	2	6002286-6002305	6000000	-	6002286	6002305
1531	chr6	6010000	8799	2	6005818-6005837	6000000	+	6005818	6005837
1532	chr6	6290000	8802	1	6280483-6280502	6280000	+	6280483	6280502
1533	chr6	6900000	8807	4	6897266-6897285	6890000	+	6897266	6897285
1543	chr6	13290000	8852	3	13280120-13280139	13280000	+	13280120	13280139
1543	chr6	13290000	8853	3	13281045-13281064	13280000	-	13281045	13281064
1543	chr6	13290000	8854	3	13287027-13287046	13280000	+	13287027	13287046
1547	chr6	15180000	8877	5	15176948-15176967	15170000	-	15176948	15176967
1550	chr6	17370000	8892	2	17362939-17362958	17360000	+	17362939	17362958
1551	chr6	17640000	8896	3	17632500-17632519	17630000	+	17632500	17632519
1552	chr6	18090000	8901	1	18087378-18087397	18080000	+	18087378	18087397
1553	chr6	18390000	8903	2	18381549-18381568	18380000	+	18381549	18381568
1553	chr6	18390000	8904	2	18388161-18388180	18380000	+	18388161	18388180
1554	chr6	18860000	8907	4	18854153-18854172	18850000	+	18854153	18854172
1554	chr6	18860000	8908	4	18854340-18854359	18850000	-	18854340	18854359
1559	chr6	21220000	8927	3	21212082-21212101	21210000	-	21212082	21212101
1559	chr6	21220000	8928	3	21214000-21214019	21210000	-	21214000	21214019
1561	chr6	22120000	8935	3	22117828-22117847	22110000	-	22117828	22117847
1563	chr6	22970000	8942	5	22961732-22961751	22960000	-	22961732	22961751
1563	chr6	22970000	8944	5	22967096-22967115	22960000	+	22967096	22967115
1563	chr6	22970000	8945	5	22967982-22968001	22960000	+	22967982	22968001
1563	chr6	22970000	8946	5	22968316-22968335	22960000	-	22968316	22968335
1564	chr6	23220000	8949	2	23216690-23216709	23210000	-	23216690	23216709
1568	chr6	24970000	8969	2	24968708-24968727	24960000	-	24968708	24968727
1573	chr6	28420000	8984	3	28418682-28418701	28410000	-	28418682	28418701
1574	chr6	28910000	8989	3	28909576-28909595	28900000	-	28909576	28909595
1576	chr6	29690000	8999	6	29688660-29688679	29680000	+	29688660	29688679
1577	chr6	30400000	9005	10	30390863-30390882	30390000	-	30390863	30390882
1578	chr6	31050000	9018	5	31045975-31045994	31040000	-	31045975	31045994
1578	chr6	31050000	9019	5	31048987-31049006	31040000	+	31048987	31049006
1580	chr6	31670000	9024	9	31660495-31660514	31660000	-	31660495	31660514
1580	chr6	31670000	9025	9	31660939-31660958	31660000	+	31660939	31660958
1580	chr6	31670000	9026	9	31663833-31663852	31660000	-	31663833	31663852
1580	chr6	31670000	9027	9	31664645-31664664	31660000	+	31664645	31664664
1580	chr6	31670000	9028	9	31666230-31666249	31660000	-	31666230	31666249
1581	chr6	32800000	9035	5	32790520-32790539	32790000	-	32790520	32790539
1581	chr6	32800000	9036	5	32793454-32793473	32790000	+	32793454	32793473
1581	chr6	32800000	9037	5	32795111-32795130	32790000	-	32795111	32795130
1581	chr6	32800000	9038	5	32796070-32796089	32790000	+	32796070	32796089
1581	chr6	32800000	9039	5	32798995-32799014	32790000	-	32798995	32799014
1583	chr6	33990000	9047	6	33981884-33981903	33980000	-	33981884	33981903
1583	chr6	33990000	9048	6	33983795-33983814	33980000	+	33983795	33983814
1583	chr6	33990000	9050	6	33985004-33985023	33980000	-	33985004	33985023
1584	chr6	34280000	9055	6	34273097-34273116	34270000	+	34273097	34273116
1584	chr6	34280000	9056	6	34273287-34273306	34270000	+	34273287	34273306
1584	chr6	34280000	9060	6	34279400-34279419	34270000	+	34279400	34279419
1585	chr6	34480000	9063	2	34471576-34471595	34470000	-	34471576	34471595
1586	chr6	35260000	9067	4	35250009-35250028	35250000	+	35250009	35250028
1586	chr6	35260000	9068	4	35252584-35252603	35250000	+	35252584	35252603
1586	chr6	35260000	9069	4	35254584-35254603	35250000	-	35254584	35254603
1589	chr6	37050000	9081	5	37045444-37045463	37040000	-	37045444	37045463
1589	chr6	37050000	9082	5	37046360-37046379	37040000	-	37046360	37046379
1593	chr6	38630000	9099	5	38622450-38622469	38620000	-	38622450	38622469
1593	chr6	38630000	9101	5	38624461-38624480	38620000	-	38624461	38624480
1593	chr6	38630000	9102	5	38626852-38626871	38620000	+	38626852	38626871
1595	chr6	39580000	9112	4	39574189-39574208	39570000	+	39574189	39574208
1595	chr6	39580000	9113	4	39574687-39574706	39570000	-	39574687	39574706
1595	chr6	39580000	9114	4	39577714-39577733	39570000	-	39577714	39577733
1595	chr6	39580000	9115	4	39579254-39579273	39570000	+	39579254	39579273
1597	chr6	40480000	9126	7	40471331-40471350	40470000	-	40471331	40471350
1597	chr6	40480000	9127	7	40473830-40473849	40470000	+	40473830	40473849
1597	chr6	40480000	9128	7	40475626-40475645	40470000	-	40475626	40475645
1597	chr6	40480000	9129	7	40476695-40476714	40470000	-	40476695	40476714
1597	chr6	40480000	9131	7	40479883-40479902	40470000	+	40479883	40479902
1599	chr6	41580000	9139	3	41576311-41576330	41570000	-	41576311	41576330
1603	chr6	43690000	9160	5	43686121-43686140	43680000	+	43686121	43686140
1603	chr6	43690000	9161	5	43686519-43686538	43680000	+	43686519	43686538
1603	chr6	43690000	9162	5	43689768-43689787	43680000	+	43689768	43689787
1605	chr6	45060000	9171	4	45051911-45051930	45050000	+	45051911	45051930
1605	chr6	45060000	9172	4	45052796-45052815	45050000	-	45052796	45052815
1607	chr6	47150000	9178	3	47142854-47142873	47140000	-	47142854	47142873
1609	chr6	48640000	9189	4	48631669-48631688	48630000	-	48631669	48631688
1609	chr6	48640000	9190	4	48632380-48632399	48630000	-	48632380	48632399
1609	chr6	48640000	9191	4	48637326-48637345	48630000	+	48637326	48637345
1610	chr6	49010000	9198	8	49008161-49008180	49000000	+	49008161	49008180
1610	chr6	49010000	9199	8	49008909-49008928	49000000	+	49008909	49008928
1612	chr6	50300000	9212	4	50294472-50294491	50290000	+	50294472	50294491
1612	chr6	50300000	9213	4	50299190-50299209	50290000	+	50299190	50299209
1613	chr6	50620000	9221	6	50618464-50618483	50610000	+	50618464	50618483
1614	chr6	51180000	9224	9	51170600-51170619	51170000	-	51170600	51170619
1614	chr6	51180000	9225	9	51172955-51172974	51170000	-	51172955	51172974
1614	chr6	51180000	9228	9	51174835-51174854	51170000	-	51174835	51174854
1614	chr6	51180000	9229	9	51175489-51175508	51170000	+	51175489	51175508
1614	chr6	51180000	9230	9	51177706-51177725	51170000	-	51177706	51177725
1614	chr6	51180000	9231	9	51177817-51177836	51170000	+	51177817	51177836
1615	chr6	51600000	9235	5	51591276-51591295	51590000	+	51591276	51591295
1615	chr6	51600000	9236	5	51592986-51593005	51590000	-	51592986	51593005
1615	chr6	51600000	9237	5	51595010-51595029	51590000	-	51595010	51595029
1615	chr6	51600000	9238	5	51596073-51596092	51590000	+	51596073	51596092
1617	chr6	52330000	9246	3	52327919-52327938	52320000	+	52327919	52327938
1618	chr6	52610000	9251	3	52607467-52607486	52600000	+	52607467	52607486
1619	chr6	53020000	9254	5	53012443-53012462	53010000	-	53012443	53012462
1619	chr6	53020000	9256	5	53014245-53014264	53010000	-	53014245	53014264
1619	chr6	53020000	9257	5	53015540-53015559	53010000	+	53015540	53015559
1619	chr6	53020000	9258	5	53019417-53019436	53010000	+	53019417	53019436
1620	chr6	53760000	9263	5	53754615-53754634	53750000	-	53754615	53754634
1620	chr6	53760000	9264	5	53755637-53755656	53750000	-	53755637	53755656
1621	chr6	54260000	9268	7	54250213-54250232	54250000	-	54250213	54250232
1621	chr6	54260000	9269	7	54251572-54251591	54250000	+	54251572	54251591
1621	chr6	54260000	9272	7	54253874-54253893	54250000	+	54253874	54253893
1621	chr6	54260000	9273	7	54255010-54255029	54250000	+	54255010	54255029
1621	chr6	54260000	9274	7	54257636-54257655	54250000	-	54257636	54257655
